datetime,open,high,low,close,volume
2026-03-02 09:15:00,1390.0,1410.0,1381.0,1396.5,2263
2026-03-02 09:16:00,1396.5,1410.2,1396.5,1410.2,967
2026-03-02 09:17:00,1408.6,1411.3,1407.0,1410.0,874
2026-03-02 09:18:00,1411.1,1412.7,1406.4,1409.9,1672
2026-03-02 09:19:00,1413.9,1414.9,1408.4,1410.6,2728
2026-03-02 09:20:00,1411.0,1422.7,1410.0,1422.7,5975
2026-03-02 09:21:00,1422.7,1429.7,1422.7,1425.8,656
2026-03-02 09:22:00,1425.8,1425.8,1422.1,1422.5,507
2026-03-02 09:23:00,1422.5,1424.6,1421.5,1424.0,486
2026-03-02 09:24:00,1424.0,1426.4,1423.4,1426.4,79
2026-03-02 09:25:00,1426.7,1431.1,1426.7,1426.7,609
2026-03-02 09:26:00,1426.3,1427.0,1426.0,1427.0,151
2026-03-02 09:27:00,1427.0,1433.0,1427.0,1431.9,106
2026-03-02 09:28:00,1431.9,1437.0,1431.9,1434.1,389
2026-03-02 09:29:00,1434.1,1436.0,1430.0,1430.0,901
2026-03-02 09:30:00,1430.0,1432.3,1430.0,1432.3,32
2026-03-02 09:31:00,1432.1,1432.1,1430.1,1430.1,45
2026-03-02 09:32:00,1430.1,1431.1,1430.1,1431.1,54
2026-03-02 09:33:00,1430.8,1433.1,1430.8,1433.1,154
2026-03-02 09:34:00,1433.1,1433.1,1432.1,1432.1,68
2026-03-02 09:35:00,1432.7,1432.7,1427.4,1431.7,368
2026-03-02 09:36:00,1431.7,1431.7,1427.0,1427.0,434
2026-03-02 09:37:00,1427.0,1430.5,1427.0,1430.5,249
2026-03-02 09:38:00,1428.3,1432.7,1428.3,1432.7,144
2026-03-02 09:39:00,1432.7,1432.7,1430.1,1430.1,145
2026-03-02 09:40:00,1429.8,1433.4,1429.8,1432.7,74
2026-03-02 09:41:00,1431.4,1434.6,1429.8,1433.8,81
2026-03-02 09:42:00,1433.8,1434.6,1433.8,1433.8,83
2026-03-02 09:43:00,1434.1,1435.2,1433.2,1434.4,261
2026-03-02 09:44:00,1434.6,1434.7,1433.9,1434.7,59
2026-03-02 09:45:00,1435.3,1438.5,1433.1,1438.5,1160
2026-03-02 09:46:00,1439.3,1445.0,1439.3,1445.0,1257
2026-03-02 09:47:00,1445.1,1448.0,1445.1,1447.9,248
2026-03-02 09:48:00,1447.9,1448.8,1447.4,1448.7,691
2026-03-02 09:49:00,1448.7,1449.0,1446.7,1448.3,2236
2026-03-02 09:50:00,1448.3,1448.3,1447.0,1447.3,993
2026-03-02 09:51:00,1447.3,1447.6,1443.0,1443.3,3190
2026-03-02 09:52:00,1444.9,1444.9,1442.4,1444.2,1531
2026-03-02 09:53:00,1444.2,1444.2,1440.8,1440.8,219
2026-03-02 09:54:00,1440.8,1442.4,1439.4,1439.4,1213
2026-03-02 09:55:00,1439.7,1440.9,1438.2,1440.9,192
2026-03-02 09:56:00,1441.0,1441.0,1439.4,1439.4,41
2026-03-02 09:57:00,1439.4,1441.0,1439.4,1441.0,27
2026-03-02 09:58:00,1441.0,1441.0,1440.3,1440.3,11
2026-03-02 09:59:00,1440.2,1441.0,1440.0,1441.0,13
2026-03-02 10:00:00,1441.0,1441.0,1439.0,1439.0,40
2026-03-02 10:01:00,1439.3,1439.7,1437.0,1437.2,405
2026-03-02 10:02:00,1436.4,1436.9,1434.0,1434.0,294
